,                 AUTOR,count,Q1,Q2,Q3,Q4,A1,A2,B,C,Nacional,Internacional
0,Oscar Danilo Montoya Giraldo,259,93,102,13,11,0,0,6,11,17,219
1,Carlos Enrique MONTENEGRO MARIN,128,20,28,11,22,0,0,8,12,20,81
2,Edwin Rivas Trujillo,121,4,13,0,10,0,0,0,14,14,27
3,Cesar Augusto Hernández Suárez,85,2,8,16,1,0,5,1,3,9,27
4,Fredy Hernán Martínez Sarmiento,81,0,1,10,10,0,5,0,0,5,21
5,Paulo Alonso Gaona García,71,6,14,6,13,0,1,6,11,18,39
6,Helbert Eduardo Espitia Cuchango,63,9,22,2,7,0,0,2,15,17,40
7,JOSE IGNACIO RODRIGUEZ MOLANO,54,1,0,16,13,0,0,2,7,9,30
8,Miguel José Espitia Rico,43,0,9,7,2,0,1,1,1,3,18
9,Ruben Javier MEDINA DAZA,40,1,0,5,20,0,0,1,4,5,26
10,Giovanny Mauricio TARAZONA BERMUDEZ,40,3,1,3,5,0,1,3,9,13,12
11,Roberto Ferro Escobar,38,2,2,1,13,0,0,0,9,9,18
12,Cesar Leonardo Trujillo Rodríguez,35,6,4,2,5,0,1,4,8,13,17
13,Javier Arturo Orjuela Castro,32,2,5,6,4,0,4,2,6,12,17
14,Victor Hugo MEDINA GARCÍA,32,0,1,1,14,0,0,0,1,1,16
15,Francisco Santamaría Piedrahita,31,9,0,3,4,0,2,4,8,14,16
16,Eduyn Ramiro Lopez Santana,30,2,0,12,11,0,0,0,3,3,25
17,Lilia Edith APARICIO PICO,27,0,0,0,0,0,0,3,7,10,0
18,Nelson Enrique Vera Parra,26,0,2,3,3,0,0,1,0,1,8
19,Hector Arturo Florez Fernandez,25,9,1,6,1,0,0,1,1,2,17
20,Cesar Augusto GARCÍA UBAQUE,25,0,0,0,9,0,10,0,9,19,9
21,German MÉNDEZ GIRALDO,23,2,0,8,11,0,0,0,1,1,21
22,Gustavo Adolfo Puerto Leguizamón,23,0,5,3,5,0,2,3,4,9,13
23,Juan Carlos Figueroa Garcia,22,4,1,5,9,0,0,0,1,1,19
24,Ernesto GOMEZ VARGAS,21,0,1,1,2,0,0,0,6,6,4
25,Herbert Enrique Rojas Cubides,19,3,2,1,2,0,0,1,7,8,8
26,Carlos Arturo Suárez Fajardo,19,0,3,1,4,0,1,3,6,10,8
27,Danilo Alfonso López Sarmiento,19,1,2,1,5,0,1,1,0,2,9
28,Jhon Francined Herrera Cubides,18,1,2,4,2,0,0,1,7,8,9
29,Luz Esperanza Bohorquez Arevalo,15,0,0,1,1,0,0,3,7,10,2
30,Elvis Eduardo Gaona Garcia,13,1,0,1,1,0,0,2,4,6,3
31,Nelson Leonardo Diaz Aldana,13,8,0,2,0,0,0,2,1,3,10
32,Alvaro Enrique ORTIZ DAVILA,13,1,1,0,7,0,0,0,1,1,9
33,Adriana Marcela  Vega| Escobar,12,1,2,2,4,0,0,0,3,3,9
34,Johann Alexander HERNANDEZ MORA,12,2,0,0,2,0,0,0,5,5,4
35,Alvaro Espinel Ortega,10,2,1,0,5,0,1,0,2,3,8
36,José Andelfo Lizcano Caro,10,0,0,0,2,0,0,0,3,3,2
37,Diana Marcela Ovalle  Martínez,10,1,0,0,1,0,0,0,2,2,2
38,Adolfo Andrés Jaramillo Matta,9,2,0,0,3,0,2,0,1,3,5
39,Leonardo Plazas Nossa,8,1,1,0,0,0,0,0,1,1,2
40,Lindsay ALVAREZ POMAR,8,0,2,0,4,0,0,0,1,1,6
41,Diego Julian Rodriguez Patarroyo,8,0,0,0,2,0,0,0,4,4,2
42,miguel melgarejo melgarejo,8,3,2,0,0,0,0,1,2,3,5
43,Luz Andrea RODRIGUEZ ROJAS,8,1,0,0,3,0,0,0,2,2,4
44,Julio Barón Velandia,6,0,0,3,0,0,0,1,1,2,3
45,Luini Leonardo Hurtado Cortés,6,0,0,0,1,0,0,0,5,5,1
46,Clara Inés Buriticá Arboleda,6,1,0,0,0,0,0,0,4,4,1
47,Sandro Javier Bolaños Castro,6,2,0,0,1,0,0,0,2,2,3
48,Marco Aurelio Alzate Monroy,5,0,0,1,1,0,0,0,2,2,2
49,José Danilo Rairán Antolines,5,0,1,1,1,0,1,0,2,3,3
50,PABLO EMILIO ROZO GARCIA,5,0,0,0,1,0,0,0,3,3,1
51,César Amílcar López Bello,5,0,0,0,3,0,0,0,3,3,3
52,Julián Andres Salamanca Bernal,4,0,0,1,0,0,0,0,0,0,1
53,Julian Alfonso Tristancho Ortiz,4,1,0,0,0,0,0,2,1,3,1
54,Ruth Esperanza ROMÁN CASTILLO,2,0,0,1,0,1,1,0,0,2,1
55,Beitmantt Geovanni Cardenas Quintero,2,0,0,0,0,0,0,1,1,2,0
56,Javier Parra Peña,2,0,0,0,0,0,0,0,2,2,0
